  ID  |              Name              |  Lvl |     XP     |    Gold    |
=========================================================================
  1   |            Frogzard            |  1   |     26     |     5      |
  2   |            IceZard             |  1   |     26     |     5      |
  3   |           Deathwood            |  5   |     49     |     5      |
  4   |         Drakel Caster          |  1   |     28     |     11     |
  5   |         Undead Knight          |  1   |     31     |     10     |
  6   |           Wasp Swarm           |  4   |     39     |     8      |
  8   |        Undead Princess         |  15  |     27     |     17     |
  9   |          Undead King           |  25  |     34     |     24     |
  10  |             Crabee             |  5   |     31     |     11     |
  11  |            DarkZard            |  1   |     26     |     5      |
  12  |             Arroc              |  4   |     30     |     11     |
  13  |          Death Knight          |  64  |    680     |    114     |
  14  |            FireZard            |  1   |     26     |     5      |
  15  |           EnergyZard           |  1   |     26     |     5      |
  16  |         Drakel Warrior         |  4   |     24     |     13     |
  17  |       Drakel Water Mage        |  4   |     24     |     13     |
  18  |          Stone Golem           |  10  |     64     |     2      |
  19  |           Mud Golem            |  8   |     61     |     2      |
  20  |           Ice Golem            |  6   |     59     |     2      |
  21  |           Centaurion           |  11  |     41     |     23     |
  22  |            Mermazon            |  15  |     24     |     18     |
  23  |          Seed Spitter          |  2   |     31     |     10     |
  25  |          Giant Spider          |  5   |     37     |     9      |
  26  |        Frogzard Hunter         |  0   |     21     |     13     |
  27  |           Razorwing            |  15  |     39     |     13     |
  28  |           Fire Golem           |  25  |     94     |     4      |
  29  |             Bandit             |  5   |     31     |     11     |
  30  |             Braken             |  35  |     64     |     33     |
  31  |          Velociraider          |  16  |     53     |     9      |
  32  |         Undead Archer          |  5   |     31     |     11     |
  33  |         Undead Wounded         |  15  |     13     |     7      |
  34  |        Undead Commander        |  31  |     96     |     13     |
  35  |          Undead Giant          |  35  |    106     |     19     |
  36  |          Undead Mage           |  15  |     39     |     13     |
  37  |         Undead Soldier         |  5   |     34     |     10     |
  38  |       Undead SpellSword        |  15  |     39     |     13     |
  39  |            Wun-Dead            |  15  |     65     |     11     |
  40  |     Mysterious Necromancer     |  50  |    525     |    107     |
  41  |             Kresh              |  25  |     61     |     15     |
  42  |             Clawg              |  25  |     70     |     12     |
  43  |           MotherZard           |  30  |    171     |     37     |
  44  |          Undead Troll          |  5   |     40     |     8      |
  45  |          Vampire Bat           |  10  |     34     |     12     |
  46  |            Griffin             |  34  |     77     |     26     |
  47  |          Snow Warrior          |  8   |     31     |     12     |
  48  |           The Bloatt           |  5   |     31     |     11     |
  49  |         Demon Panther          |  20  |     44     |     15     |
  50  |             Whomp              |  10  |     52     |     6      |
  51  |            TadZard             |  1   |     26     |     5      |
  52  |            Vagaran             |  7   |     33     |     11     |
  53  |              Zeel              |  18  |     33     |     17     |
  54  |            RayZard             |  1   |     26     |     5      |
  55  |            WindZard            |  1   |     26     |     5      |
  56  |           Glow Worm            |  12  |     67     |     2      |
  57  |             Mantik             |  6   |     5      |     20     |
  58  |           Heckhound            |  15  |     39     |     13     |
  59  |             Mawler             |  11  |     35     |     12     |
  60  |            Piranhas            |  5   |     43     |     7      |
  61  |            Shevite             |  18  |     51     |     11     |
  62  |           Torch Foot           |  2   |     31     |     10     |
  63  |            Two-Bear            |  15  |     12     |     22     |
  64  |             Zzott              |  4   |     54     |     3      |
  65  |            Piranhas            |  35  |    109     |     18     |
  66  |     Potion Treasure Chest      |  0   |     0      |     0      |
  67  |         Emerald Slime          |  20  |     83     |     2      |
  68  |             Magman             |  20  |     74     |     5      |
  69  |         Elven Warrior          |  3   |     32     |     10     |
  70  |          Darkshifter           |  35  |     82     |     27     |
  71  |            Cyclops             |  15  |     30     |     16     |
  72  |          Frost Giant           |  20  |     44     |     15     |
  73  |             Slaxe              |  30  |     92     |     63     |
  74  |        Drakel Enforcer         |  7   |     27     |     13     |
  75  |           Animal Box           |  2   |     0      |     0      |
  76  |            Fumidus             |  9   |     29     |     13     |
  77  |         Light Sentinel         |  30  |     84     |     15     |
  78  |            Glayser             |  8   |     28     |     13     |
  79  |            Prismix             |  10  |     10     |     20     |
  80  |           SkyHunter            |  15  |     36     |     14     |
  81  |         Weather Witch          |  24  |     57     |     15     |
  82  |           Swamp Trog           |  9   |     35     |     11     |
  83  |            Mjolnid             |  28  |     71     |     16     |
  84  |         Young Phoenix          |  11  |     35     |     12     |
  85  |         Dwarf Warrior          |  19  |     45     |     14     |
  86  |             Snayl              |  4   |     36     |     9      |
  87  |             Gnarl              |  8   |     43     |     8      |
  88  |      Edan the Fire Dragon      |  77  |    2987    |    1022    |
  89  |      Halenro the Paladin       |  75  |    840     |    505     |
  90  |            WereBat             |  20  |     35     |     18     |
  91  |        Lesser WarBeast         |  32  |     69     |     24     |
  92  |        Greater WarBeast        |  50  |    254     |     44     |
  93  |             Adalon             |  40  |    142     |     23     |
  94  |        Draegan Avenger         |  32  |     81     |     20     |
  95  |              Yeti              |  45  |     93     |     63     |
  96  |         Soldier Wasps          |  15  |     48     |     10     |
  97  |            Grizzle             |  25  |     61     |     15     |
  98  |        Minotaur Warrior        |  40  |     85     |     42     |
  99  |        Minotaur Warrior        |  20  |     35     |     18     |
 100  |           Deathwood            |  25  |     79     |     9      |
 101  |           Animal Box           |  50  |     0      |     0      |
 102  |           Ruby Golem           |  45  |     15     |     89     |
 103  |             Sunray             |  30  |    114     |     5      |
 104  |            Altidont            |  54  |    251     |     84     |
 105  |        Drakel Destroyer        |  35  |     85     |     26     |
 106  |          Forest Demon          |  20  |     44     |     15     |
 107  |            Gargoyle            |  17  |     40     |     14     |
 108  |           King Cobra           |  30  |     75     |     18     |
 109  |            Zarlath             |  50  |    215     |     57     |
 110  |           Necrofiend           |  50  |    215     |     57     |
 111  |           Fire Cobra           |  30  |     63     |     22     |
 112  |             Zzott              |  44  |    233     |     11     |
 113  |        GrandmotherZard         |  45  |    369     |     83     |
 114  |            WereWolf            |  40  |    292     |     57     |
 115  |            Gorarog             |  36  |    129     |     14     |
 116  |          Frazzlhutch           |  12  |     37     |     12     |
 117  |           Iron Golem           |  42  |     60     |     59     |
 118  |            Drakath             |  70  |    729     |    291     |
 119  |         Tundra Reaver          |  54  |    278     |    172     |
 120  |          Light Demon           |  55  |    380     |     53     |
 121  |      Fire Drakel Warrior       |  4   |     24     |     13     |
 122  |           Fire Fiend           |  10  |     34     |     12     |
 123  |          Fire Mantik           |  6   |     41     |     8      |
 124  |       Fire Seed Spitter        |  6   |     32     |     11     |
 125  |          Fire Knight           |  11  |     29     |     14     |
 126  |       Fire Drakel Wizard       |  10  |     28     |     14     |
 127  |          Fire Knight           |  45  |    114     |     56     |
 128  |           Fire Demon           |  50  |    263     |     41     |
 129  |             Creech             |  57  |    403     |     72     |
 130  |           VorpalZard           |  90  |    5022    |    1675    |
 131  |       Enchanting Sphinx        |  67  |    638     |    213     |
 132  |             Gargel             |  52  |    251     |     63     |
 133  |            Chimera             |  60  |    384     |    127     |
 134  |          Dark Knight           |  5   |     31     |     11     |
 135  |        Darkness Dragon         |  70  |    513     |    516     |
 136  |         Dragon Blade?          |  5   |     0      |     0      |
 137  |             Lectro             |  27  |     51     |     21     |
 138  |            Moonray             |  26  |     95     |     5      |
 139  |         Giant Nautoid          |  45  |    171     |     37     |
 140  |            Behemoth            |  65  |    581     |    173     |
 141  |            Skeeter             |  25  |     52     |     18     |
 142  |            Garganth            |  15  |     42     |     12     |
 143  |             Grunt              |  29  |     55     |     23     |
 144  |       Drakel Power Armor       |  44  |    152     |     38     |
 145  |           Sea Titan            |  64  |    464     |    186     |
 146  |          Ultra Giant           |  20  |     50     |     48     |
 147  |   Lilliputian Sorcerer Army    |  40  |    106     |     35     |
 148  |     Ultra Akriloth, Dragon     |  90  |    6893    |    6893    |
 149  |            Avalurch            |  65  |    581     |    173     |
 150  |   Serlissa the Water Dragon    |  70  |    1168    |    785     |
 151  |          Fireshifter           |  15  |     39     |     13     |
 152  |           Ice Snayl            |  7   |     39     |     9      |
 153  |           Ice Knight           |  10  |     28     |     14     |
 154  |          Ice Warlord           |  30  |     66     |     21     |
 155  |           Ice Demon            |  50  |    254     |     44     |
 156  |          Night Terror          |  72  |    934     |    311     |
 157  |         Energy Dragon          |  75  |    757     |    758     |
 158  |           The Reaper           |  90  |   12360    |     0      |
 159  |           Sun-Eater            |  72  |    835     |    344     |
 160  |         Emerald Golem          |  30  |     6      |     41     |
 161  |            Quizzat             |  13  |     23     |     17     |
 162  |          Worm Knight           |  17  |     31     |     17     |
 163  |            The Roc             |  72  |    1503    |    299     |
 164  |     Sir Lanceler - Trainer     |  5   |     0      |     0      |
 165  |           Wild Worm            |  10  |     28     |     14     |
 166  |         Berserker Worm         |  14  |     31     |     15     |
 167  |          Worm Caster           |  12  |     31     |     14     |
 168  |           Worm Rider           |  10  |     28     |     14     |
 169  |          InfernoZard           |  11  |     44     |     9      |
 170  |           WhaleZard            |  20  |     53     |     12     |
 171  |           CloudZard            |  20  |     53     |     12     |
 172  |           NightZard            |  15  |     48     |     10     |
 173  |           LightZard            |  20  |     53     |     12     |
 174  |            ToadZard            |  15  |     48     |     10     |
 175  |            BlizZard            |  15  |     48     |     10     |
 176  |           StormZard            |  15  |     48     |     10     |
 177  |           Sand Shark           |  25  |     43     |     21     |
 178  |           ZardMaster           |  50  |    155     |     77     |
 179  |            Dwakel              |  14  |     34     |     14     |
 180  |     Neberon - Mage Trainer     |  30  |     0      |     0      |
 181  |   Grimweld - Warrior Trainer   |  15  |     0      |     0      |
 182  |          Death Witch           |  25  |     49     |     19     |
 183  |            GigaWorm            |  30  |     36     |     31     |
 184  |            Thrachee            |  34  |     77     |     26     |
 185  |           Mummicane            |  36  |     84     |     29     |
 186  |           Sorceress            |  33  |     85     |     21     |
 187  |      Drakel Water Raider       |  30  |     51     |     26     |
 188  |        Velociraider Rex        |  52  |    251     |     63     |
 189  |        Minotaur Warrior        |  60  |    306     |    153     |
 190  |       Plasma Dragon Lord       |  85  |    3702    |    3707    |
 191  |              Xyno              |  15  |     27     |     17     |
 192  |             Phleeb             |  46  |    114     |     62     |
 193  |         Red Moglinster         |  30  |     81     |     16     |
 194  |       Mermazon Berserker       |  44  |    188     |     26     |
 195  |            Groglurk            |  45  |     60     |     74     |
 196  |        Angered Groglurk        |  75  |    1137    |    406     |
 197  |          Ice Burrower          |  35  |     70     |     31     |
 198  |        Green Moglinster        |  32  |     90     |     17     |
 199  |        Blue Moglinster         |  35  |     88     |     25     |
 200  |             Plodd              |  34  |     77     |     26     |
 201  |            Brigling            |  10  |     34     |     12     |
 202  |             Hydrak             |  24  |     51     |     17     |
 203  |          Rogue Knight          |  42  |     36     |     67     |
 204  |            Trigoras            |  82  |    3618    |    3611    |
 205  |        Veteran Wun-Dead        |  65  |    439     |    325     |
 206  |            Cyclops             |  56  |    232     |    115     |
 207  |             Braken             |  58  |    268     |    132     |
 208  |    Female Void Dragon Wyrm     |  90  |    3091    |    2318    |
 209  |      Tiny Treasure Chest       |  5   |     4      |     20     |
 210  |      Small Treasure Chest      |  15  |     3      |     25     |
 211  |         Treasure Chest         |  30  |     6      |     41     |
 212  |       Big Treasure Chest       |  45  |     12     |     90     |
 213  |      Huge Treasure Chest       |  60  |     39     |    242     |
 214  |         Treasure Hoard         |  75  |    117     |    746     |
 215  |       Drakel Air Raider        |  24  |     56     |     34     |
 216  |       Angel of Darkness        |  60  |    764     |    148     |
 217  |         Titled Warrior         |  46  |    189     |     94     |
 218  |        Four-Eyed Menace        |  20  |     44     |     15     |
 219  |          DemonSpectre          |  44  |    149     |     39     |
 220  |             Chrask             |  13  |     26     |     16     |
 221  |       Frogzard Defender        |  63  |    563     |    129     |
 223  |        Four-Eyed Menace        |  60  |    384     |    127     |
 224  |           SkySeeker            |  1   |     22     |     13     |
 225  |             Sunray             |  1   |     52     |     3      |
 226  |       Drakel Power Scout       |  10  |     19     |     17     |
 227  |         Snow BunnyZard         |  40  |    136     |     45     |
 228  | Pirrelvag the Blizzard Dragon  |  69  |    2039    |    409     |
 229  |          Sandy Claws           |  80  |    3046    |    1542    |
 230  |     Frosty the Snow Golem      |  90  |    6866    |    3434    |
 231  |            Zorbak              | 100  |   19600    |    6531    |
 232  |         Zard Ice Pack          |  20  |     38     |     17     |
 233  |      Sandy Claws and Boo       |  45  |    370     |    113     |
 234  |       Frosty and Lothaar       |  57  |    599     |    320     |
 235  |         Drakel Captain         |  40  |     64     |     49     |
 236  |   Drakelon Steam MegaDragon    | 150  |   700300   |   210100   |
 237  |            Vampire             |  70  |    738     |    288     |
 238  |             Troll              |  30  |     48     |     27     |
 239  |        Dracolich Rider         |  75  |    936     |    473     |
 240  |          Sea Brigling          |  82  |    2890    |    400     |
 241  |        Undead War Party        |  50  |    257     |     43     |
 242  |        Junior Zard Pack        |  40  |    109     |     34     |
 243  |          Thunderbird           |  62  |    442     |    147     |
 244  |           Sarkanian            |  45  |    141     |     47     |
 245  |            Centocor            |  74  |    778     |    467     |
 246  |        Dastardly Gloop         |  17  |     25     |     19     |
 247  |            MiniWorm            |  9   |     17     |     17     |
 248  |          Abomination           |  59  |    277     |    145     |
 249  |           Right Hand           |  93  |    2081    |    802     |
 250  |            Cyclops             |  66  |    474     |    237     |
 251  |           Berserker            |  53  |    240     |     77     |
 252  |             Forgah             |  39  |     71     |     43     |
 253  |            Chomper             |  19  |     27     |     20     |
 254  |            Searlok             |  41  |     89     |     45     |
